label,text,text1,text2
1,shame info dissemination bbc confirms service cut,shame info dissemination bbc ocfnirms sevriec cut,shame ifno dissemination bbc confirms sreivce cut
1,bbc service cut outlined staff,bbc service cut outlined stfaf,bbc sevirce cut outlined staff
1,bbc news bbc service cut outlined staff,bbc enws bbc service cut outlined staff,bbc news bbc service cut uotlinde staff
2,breakingnews looter broke museum destroyed pharaonic mummy late friday nation top archaeologist reuters egypt,breakingnews looter broke museum destroyed pharoanci mummy late friday nation top archaeologist reuters egytp,breakingnews ltooer broke museum destroyed pharaonic mummy alte friday aniton top archaeologist reuters egypt
2,egypt military secures famed antiquity museum,egytp military secures famed antiquity musmeu,egypt military secures famed antiuqtiy msuemu
2,al jazeera thousand egyptian youth form human shield protect egyptian museum museum egypt jan,al ajzeear thousand egyptian yotuh ofrm human shield protect egyptian museum museum egypt jan,al jazeear thousand egyptian oyuth form human shield protect egyptian museum museum egytp jan
2,rioter destroy mummy egyptian museum cairo filed art culture history learning afric,rioter sdetroy mummy egyptian museum cairo ifled art culture history learning faric,rioter dsetryo mummy egyptian museum cairo field art culture shitory learning afric
2,protest protect human history human wall protecting cairo museum egypt egypte egipto mubarak pls,protest protect human hitsoyr human wall rptoecting cairo museum egypt egypte eigtpo mubarak pls,protest protect human history human wall protecting ciaro museum egypt geypet egipto mubarak pls
2,keeping informed,keeping nifromed,keeping infroemd
2,touching story protester protecting museum jan egypt,touching story protester protecting museum jan geypt,touching story protester rpotecitng umsemu jan egypt
2,damaged artifact egyptian national museum cap al jazeera live stream egypt jan,damaged artifact egyptian national msuuem cap al ajzeera live stream egypt jan,damaged artifact egyptian national museum cap al jazeera ilve stream egypt jan
2,looter destroy mummy egyptian museum official jan egypt daddy,looter destroy mummy egyptian museum foficial jan eygpt daddy,oolter destroy mummy egyptian museum offiicla jan egypt daddy
2,thousand egyptian form human chain egypt museum protect looting aljazeera,thousdan egyptian form human chain egypt museum portetc looting aljazeera,thousand egyptian fomr human chain egypt museum protect looting lajazeera
2,gamble care egyptian museum artifact freedom people egypt,gamble caer eygptina museum artifact freedom people egypt,agmbel care egyptian museum artifact freedom people egypt
2,al jazeera protestors create human shield egyptian museum protect egypt egipto jan,al jazeera rpotestros create human shield egypitna museum protect egypt gepito jan,al ajzeear protestors create humna shield egyptian muesmu protect egypt egipto jan
2,army protestors protect imperiled cairo museum,army prtosetors rpotetc imperiled cairo museum,arym protestors protect miepriled cairo museum
2,looter smashed egypt national museum damaged priceless artifact picture,looter smashed egypt naitoanl museum damaged priceless artiftac picture,looter smashed egypt national museum damaged priceless aritafct pcituer
2,cairo building adjacent egypt national museum priceless collection pheoronic art entirely fire,cairo building adjacent egypt national museum priceless collection pheoronic art netierly fire,cairo building adjcanet egypt national umsemu priceless colletcino pheoronic art entirely fire
2,looter broke museum destroyed pharaonic mummy late friday nation top archaeologist reuters,loteor broke muesmu destroyed pharaonic mummy late friday nation top archaeologist reuters,lotore broke museum destroyed pharaonic mmumy late friday nation top rachaelooigst reuters
2,looter destroy mummy egyptian museum,looter edstryo mummy egyptian museum,loorte destroy mummy egyptian museum
2,egypt army secures museum pharaonic treasure report cairo reuters army unit secured egyptian mu,egypt ramy secures museum pharaonic treasure report caior reuters army unit secured eygptain mu,egypt ramy secures museum pharaonic treasure report cairo reuters army unti sceurde egyptian mu
2,thousand egyptian youth protecting cairo museum sabotage jan egypt mubarak,tohusadn egyptian youth protecting cairo museum sabotage jan egypt umbarka,thousand egyptian youth protecting aciro museum sabotage jan egypt mubarak
2,artifact stolen egyptian museum cairo sad,artifact tsolne egyptian musmeu cairo sad,ratiafct stolen eygpitan museum cairo sad
